feedback_text,is_fake,sentiment
The product arrived quickly and was exactly as described. Very happy with the purchase.,no,positive
"Customer service was terrible, they never responded to my emails. Very frustrating experience.",no,negative
"It's an average device, nothing groundbreaking, but it gets the job done.",no,neutral
This is an amazing offer! Limited time only! Buy now and get a discount!,yes,positive
The quality is fantastic for the price. Exceeded my expectations.,no,positive
"I had a problem with the delivery, but the item itself is fine.",no,neutral
This review is fake. Do not trust it. It's clearly spam.,yes,negative
"The app crashes frequently, making it unusable. Needs urgent bug fixes.",no,negative
Absolutely love the new features! Very intuitive and user-friendly.,no,positive
"The instructions were unclear, and assembly was a nightmare. Very disappointed.",no,negative
"It's okay, not great, not terrible. Just a standard product.",no,neutral
This product is a scam! Don't waste your money. Fraudulent claims.,yes,negative
Highly recommend this service! Professional and efficient.,no,positive
"The battery life is very poor, drains too quickly.",no,negative
"Neutral feedback on the design, it's functional but not aesthetically pleasing.",no,neutral
"This is a promotional message, not a real review. Click here for deals!",yes,positive
Excellent value and performance. Couldn't ask for more.,no,positive
"The packaging was damaged upon arrival, but the product inside was intact.",no,positive
I'm indifferent about this purchase. It's neither good nor bad.,no,neutral
"This is a bot-generated review, please disregard.",yes,neutral
This is a real review. I bought it last week and it's fantastic.,no,positive
"Great product, fast shipping, five stars!",no,positive
"Scam alert! Don't buy this, it's a rip-off.",yes,negative
"Just received it, looks good so far.",no,positive
"Promotional content, not a genuine review.",yes,neutral
"I'm so happy with this purchase, it exceeded all my expectations!",no,positive
This service is a total fraud. Stay away!,yes,negative
The item broke after one use. Very poor quality.,no,negative
Click this link for a free gift! Limited time offer!,yes,positive
"A truly genuine experience, highly satisfied.",no,positive
This review is sponsored and not objective.,yes,neutral
The customer support was unhelpful and rude.,no,negative
Best product ever! You won't regret buying it!,yes,positive
"It's decent for the price, no major complaints.",no,neutral
Warning: This is a phishing attempt. Do not click!,yes,negative
I found this product to be quite effective and reliable.,no,positive
Amazing deal! Get yours now before it's gone!,yes,positive
"The delivery was delayed, but the product is good.",no,positive
This is a fake account posting fake reviews.,yes,negative
"I appreciate the effort, but it didn't meet my needs.",no,neutral
Limited stock! Buy now and save big!,yes,positive
The color is not as vibrant as shown in the pictures.,no,negative
"This is spam, unsubscribe here.",yes,negative
Very satisfied with the performance and ease of use.,no,positive
This product will change your life! Order today!,yes,positive
"It's a solid choice, nothing spectacular but gets the job done.",no,neutral
This review is part of a paid promotion.,yes,neutral
"The battery life is surprisingly good, lasts all day.",no,positive
"Avoid this at all costs, terrible quality and customer service.",no,negative
Get 50% off! Visit our website now!,yes,positive
My honest opinion is that it's a worthwhile investment.,no,positive
This feedback is generated by AI.,yes,neutral
The software is buggy and crashes constantly. Needs urgent attention.,no,negative
"Fantastic customer support, they resolved my issue within minutes.",no,positive
"This offer is too good to be true, probably a scam.",yes,negative
"The design is sleek and modern, but the functionality is lacking.",no,neutral
"I received a broken item, very disappointed with the quality control.",no,negative
Join our exclusive club for amazing discounts! Limited spots!,yes,positive
The user interface is clunky and hard to navigate.,no,negative
Highly durable and well-built. I expect this to last for years.,no,positive
"This is a copied review from another site, not original content.",yes,neutral
The sound quality is exceptional for such a small device.,no,positive
"My experience was just average, nothing stood out.",no,neutral
Beware of hidden fees! This service is misleading.,yes,negative
The installation process was straightforward and quick.,no,positive
This product is a total game-changer! Must-have!,yes,positive
The material feels cheap and flimsy.,no,negative
I'm extremely satisfied with the results. Worth every penny.,no,positive
This review is clearly incentivized. Not trustworthy.,yes,neutral
"The delivery was faster than expected, great service.",no,positive
"The product description was misleading, not what I expected.",no,negative
Visit our website for a chance to win a prize!,yes,positive
"It's a decent attempt, but there's room for improvement.",no,neutral
The app is slow and unresponsive at times.,no,negative
I absolutely adore this product! It's perfect!,no,positive
This is a fake review from a competitor.,yes,negative
"The packaging was eco-friendly, which I appreciate.",no,positive
The colors are vibrant and true to the pictures.,no,positive
"This is a spam message, do not reply.",yes,neutral
"The product works exactly as advertised, no surprises.",no,positive
"Customer support was quick and efficient, very helpful.",no,positive
The price is a bit high for what it offers.,no,neutral
This offer expires soon! Act fast!,yes,positive
The quality of the components is excellent.,no,positive
I had a terrible time trying to set it up.,no,negative
"This review is generated by a bot, disregard.",yes,neutral
It's a solid 4 out of 5 stars for me.,no,positive
"The battery drains too fast, very inconvenient.",no,negative
Get your free trial now! Limited offer!,yes,positive
"The product is okay, but the instructions are confusing.",no,neutral
I'm disappointed with the durability.,no,negative
"Fantastic value for money, highly recommended!",no,positive
This review is clearly part of a marketing campaign.,yes,positive
"The camera quality is superb, takes amazing photos.",no,positive
The software updates are frequent and improve performance.,no,positive
"This is a scam link, do not click!",yes,negative
"It's neither good nor bad, just functional.",no,neutral
"The product arrived damaged, but the return process was easy.",no,negative
"This review is suspicious, very generic.",yes,neutral
"Excellent product, very happy with my purchase.",no,positive
The user manual is poorly written.,no,negative
Special offer for new customers! Sign up today!,yes,positive
The product is exactly what I needed.,no,positive
The shipping was delayed due to unforeseen circumstances.,no,neutral
"This is a phishing attempt, be careful.",yes,negative
I love the sleek design and compact size.,no,positive
The customer service was unresponsive and unhelpful.,no,negative
This offer is exclusive and won't last!,yes,positive
"It's a good product, but the price could be lower.",no,neutral
